     T,      X,      Y
 12.67,  -0.24,  -0.24 
 12.69,  -0.24,   0.00 
 12.71,  -0.24,  -0.24 
 12.74,  -0.24,   0.00 
 12.76,  -0.48,  -0.24 
 12.78,  -0.24,   0.24 
 12.80,  -0.24,   0.00 
 12.82,  -0.24,   0.00 
 12.85,  -0.49,   0.00 
 12.87,   0.00,  -0.24 
 12.90,  -0.48,   0.00 
 12.93,  -0.25,   0.00 
 12.96,  -0.24,   0.00 
 12.98,  -0.24,   0.24 
 13.01,  -0.24,   0.00 
 13.03,  -0.24,   0.00 
 13.06,  -0.24,  -0.24 
 13.08,  -0.73,  -0.49 
 13.10,  -0.97,   0.00 
 13.13,  -0.24,   0.00 
 13.16,   0.00,   0.00 
 13.18,  -0.24,   0.24 
 13.21,  -0.24,  -0.24 
 13.23,  -0.73,   0.00 
 13.26,  -0.49,  -0.24 
 13.28,  -0.24,   0.00 
 13.30,  -0.48,   0.24 
 13.35,  -0.24,   0.00 
 13.38,  -0.49,   0.00 
 13.40,  -0.24,  -0.24 
 13.43,  -0.24,   0.00 
 13.45,  -0.24,   0.00 
 13.48,   0.00,   0.00 
 13.50,  -0.24,   0.00 
 13.52,  -0.48,  -0.24 
 13.54,  -0.49,   0.00 
 13.57,  -0.24,   0.00 
 13.59,  -0.24,   0.24 
 13.61,   0.00,   0.00 
 13.63,  -0.24,   0.24 
 13.65,  -0.49,   0.00 
 13.67,  -0.24,  -0.24 
 13.70,  -0.24,  -0.24 
 13.72,   0.00,   0.00 
 13.74,   0.00,   0.00 
 13.76,  -0.24,   0.00 
 13.78,  -0.24,   0.00 
 13.81,  -0.49,   0.00 
 13.83,  -0.49,   0.00 
 13.85,  -0.24,   0.00 
 13.87,  -0.48,  -0.24 
 13.89,  -0.24,  -0.24 
 13.92,   0.00,   0.24 
 13.94,  -0.24,   0.00 
 13.96,  -0.49,   0.00 
 13.98,   0.00,  -0.24 
 14.00,  -0.24,  -0.24 
 14.02,  -0.48,  -0.24 
 14.04,  -0.49,  -0.24 
 14.07,  -0.24,   0.00 
 14.09,  -0.24,   0.00 
 14.11,  -0.24,   0.00 
 14.13,  -0.24,   0.00 
 14.15,  -0.24,   0.00 
 14.18,  -0.49,  -0.24 
 14.20,   0.00,  -0.24 
 14.22,  -0.24,   0.00 
 14.24,   0.00,   0.24 
 14.26,  -0.49,   0.24 
 14.28,  -0.24,  -0.24 
 14.30,   0.00,  -0.24 
 14.32,   0.00,   0.00 
 14.34,   0.00,   0.00 
 14.37,  -0.24,   0.00 
 14.39,  -0.24,  -0.24 
 14.41,  -0.49,  -0.24 
 14.43,  -0.49,  -0.24 
 14.45,  -0.49,   0.00 
 14.47,  -0.24,   0.00 
 14.50,  -0.24,   0.24 
 14.52,  -0.24,   0.00 
 14.54,  -0.24,   0.00 
 14.56,  -0.49,   0.24 
 14.59,  -0.24,   0.00 
 14.61,  -0.24,   0.00 
 14.63,  -0.24,   0.00 
 14.65,  -0.24,  -0.24 
 14.67,  -0.24,   0.00 
 14.69,  -0.24,   0.00 
 14.71,  -0.24,  -0.24 
 14.73,  -0.24,   0.00 
 14.75,  -0.49,   0.00 
 14.77,  -0.24,   0.00 
 14.80,  -0.24,   0.00 
 14.82,  -0.24,   0.00 
 14.84,  -0.24,  -0.24 
 14.86,  -0.24,  -0.24 
 14.88,  -0.49,   0.00 
 14.90,   0.00,   0.00 
 14.93,   0.00,  -0.24 
 14.95,   0.00,  -0.49 
 14.97,  -0.73,   0.24 
 14.99,  -0.48,  -0.24 
 15.02,  -0.24,   0.00 
 15.04,  -0.24,   0.00 
 15.06,  -0.49,  -0.24 
 15.08,  -0.49,   0.00 
 15.10,  -0.24,   0.00 
 15.12,  -0.49,   0.00 
 15.15,  -0.24,   0.00 
 15.17,  -0.24,   0.00 
 15.19,  -0.24,   0.00 
 15.21,  -0.24,   0.00 
 15.23,  -0.24,   0.00 
 15.26,  -0.49,   0.00 
 15.28,  -0.73,   0.00 
 15.30,  -0.24,   0.00 
 15.32,  -0.24,   0.00 
 15.34,  -0.24,   0.00 
 15.37,  -0.24,   0.00 
 15.39,  -0.24,  -0.49 
 15.41,  -0.49,  -0.24 
 15.43,  -0.49,   0.24 
 15.45,  -0.24,   0.00 
 15.48,  -0.24,  -0.24 
 15.50,   0.00,   0.00 
 15.52,  -0.24,   0.00 
 15.54,   0.00,  -0.24 
 15.56,  -0.24,   0.00 
 15.59,  -0.48,   0.00 
 15.61,   0.00,   0.00 
 15.63,  -0.49,   0.00 
 15.66,  -0.24,  -0.24 
 15.68,  -0.24,   0.00 
 15.70,  -0.49,   0.00 
 15.72,  -0.49,   0.00 
 15.74,  -0.24,   0.00 
 15.77,  -0.24,   0.24 
 15.79,  -0.24,   0.00 
 15.81,  -0.24,   0.00 
 15.83,  -0.24,   0.00 
 15.85,   0.00,  -0.49 
 15.87,  -0.73,   0.00 
 15.89,  -0.48,   0.00 
 15.92,   0.00,   0.00 
 15.94,   0.00,  -0.24 
 15.96,  -0.24,   0.00 
 15.98,  -0.49,  -0.24 
 16.00,  -0.49,  -0.24 
 16.03,  -0.24,   0.00 
 16.05,  -0.49,  -0.24 
 16.07,  -0.49,   0.00 
 16.09,  -0.24,  -0.24 
 16.11,  -0.24,  -0.24 
 16.14,  -0.73,   0.24 
 16.16,  -0.24,   0.24 
 16.18,   0.00,  -0.24 
 16.20,  -0.24,   0.00 
 16.22,  -0.49,   0.24 
 16.25,  -0.24,  -0.49 
 16.27,  -0.73,   0.00 
 16.29,  -0.24,   0.00 
 16.31,  -0.24,  -0.24 
 16.33,  -0.49,   0.00 
 16.36,  -0.49,   0.24 
 16.38,   0.00,   0.00 
 16.40,  -0.48,   0.00 
 16.43,   0.00,   0.00 
 16.45,  -0.24,  -0.24 
 16.47,  -0.48,   0.24 
 16.49,  -0.49,   0.00 
 16.52,  -0.24,  -0.24 
 16.54,  -0.49,  -0.24 
 16.56,  -0.24,   0.00 
 16.58,   0.24,   0.00 
 16.61,   0.00,   0.00 
 16.63,  -0.24,   0.00 
 16.65,  -0.24,  -0.24 
 16.67,  -0.72,   0.00 
 16.69,  -0.49,   0.00 
 16.71,   0.00,   0.00 
 16.73,  -0.24,   0.00 
 16.76,  -0.49,   0.00 
 16.78,  -0.49,   0.00 
 16.80,  -0.49,  -0.24 
 16.82,  -0.24,  -0.24 
 16.85,  -0.24,   0.00 
 16.87,  -0.24,   0.00 
 16.89,  -0.49,  -0.24 
 16.91,  -0.24,   0.00 
 16.93,  -0.49,   0.00 
 16.95,  -0.48,  -0.24 
 16.98,   0.00,   0.24 
 17.00,  -0.49,   0.00 
 17.02,  -0.48,  -0.24 
 17.04,  -0.24,   0.00 
 17.06,  -0.24,  -0.24 
 17.09,  -0.24,   0.00 
 17.11,  -0.49,   0.00 
 17.13,  -0.24,  -0.24 
 17.15,  -0.48,  -0.24 
 17.17,  -0.49,   0.00 
 17.19,  -0.24,   0.00 
 17.22,  -0.24,   0.00 
 17.24,  -0.49,  -0.24 
 17.26,  -0.73,  -0.24 
 17.28,  -0.24,   0.00 
 17.30,  -0.24,   0.00 
 17.33,   0.00,  -0.24 
 17.35,   0.00,  -0.24 
 17.37,   0.00,   0.00 
 17.39,  -0.98,   0.00 
